Timestamp,Latitude,Longitude,Speed,Altitude,SoC,Wind_direction,Wind_speed,Weather
2023-11-06 15:09:07,53.385785,-6.255675,0.54,56.091335,76,W,7.31,Dry
2023-11-06 15:09:21,53.385796,-6.25584,3.143655,48.124712,76,W,7.31,Dry
2023-11-06 15:09:28,53.385848,-6.256024,7.767004,46.234145,76,W,7.31,Dry
2023-11-06 15:09:30,53.385904,-6.256166,16.091499,46.306908,76,W,7.31,Dry
2023-11-06 15:09:32,53.385958,-6.256313,14.541622,47.804045,76,W,7.31,Dry
2023-11-06 15:09:35,53.386013,-6.25647,6.810689,48.022761,76,W,7.31,Dry
2023-11-06 15:09:37,53.385933,-6.256545,11.391549,47.92806,76,W,7.31,Dry
2023-11-06 15:09:39,53.385835,-6.256607,11.323606,48.943868,76,W,7.31,Dry
2023-11-06 15:09:43,53.385771,-6.256753,12.374318,49.998511,76,W,7.31,Dry
2023-11-06 15:09:45,53.385717,-6.256877,15.387808,49.449035,76,W,7.31,Dry
2023-11-06 15:09:47,53.38563,-6.257034,15.080712,50.055324,76,W,7.31,Dry
2023-11-06 15:09:50,53.385698,-6.257175,13.519687,50.639046,76,W,7.31,Dry
2023-11-06 15:09:52,53.385743,-6.25732,18.652712,50.245917,76,W,7.31,Dry
2023-11-06 15:09:54,53.38582,-6.25741,18.735551,50.310093,76,W,7.31,Dry
2023-11-06 15:09:56,53.385882,-6.257529,17.987888,50.816625,76,W,7.31,Dry
2023-11-06 15:09:59,53.385953,-6.257725,19.201466,50.66933,76,W,7.31,Dry
2023-11-06 15:10:02,53.386,-6.257888,13.524847,50.14138,76,W,7.31,Dry
2023-11-06 15:10:05,53.386076,-6.258078,17.656825,51.545397,76,W,7.31,Dry
2023-11-06 15:10:07,53.386153,-6.258199,17.655425,53.887107,76,W,7.31,Dry
2023-11-06 15:10:10,53.386204,-6.258376,13.930373,50.517454,76,W,7.31,Dry
2023-11-06 15:10:13,53.386217,-6.258543,12.60211,48.752663,76,W,7.31,Dry
2023-11-06 15:10:16,53.386144,-6.258632,11.909865,48.702601,76,W,7.31,Dry
2023-11-06 15:10:20,53.38603,-6.258651,15.055087,49.080758,75,W,7.31,Dry
2023-11-06 15:10:22,53.385943,-6.258579,16.734398,49.158416,75,W,7.31,Dry
2023-11-06 15:10:24,53.385861,-6.258515,17.040436,49.758398,75,W,7.31,Dry
2023-11-06 15:10:27,53.385748,-6.258413,16.348662,50.375314,75,W,7.31,Dry
2023-11-06 15:10:29,53.385657,-6.258425,15.641531,50.101614,75,W,7.31,Dry
2023-11-06 15:10:32,53.385536,-6.258471,15.100722,49.886948,75,W,7.31,Dry
2023-11-06 15:10:36,53.385438,-6.258376,11.421302,50.757652,75,W,7.31,Dry
2023-11-06 15:10:40,53.385411,-6.258168,15.852098,52.420776,75,W,7.31,Dry
2023-11-06 15:10:42,53.385402,-6.257987,20.481959,52.192335,75,W,7.31,Dry
2023-11-06 15:10:44,53.385399,-6.257774,24.342365,52.218368,75,W,7.31,Dry
2023-11-06 15:10:46,53.385393,-6.257568,23.821923,51.024482,75,W,7.31,Dry
