timestamp,position_lat,position_long,altitude,distance,speed,cycle_length,Wind speed,Wind Direction,Weather,Precipitation,temperature
0.0,53.3852895,-6.2539675,61.4,0.0,13.489,15,17.6,WSW,Partly cloudy,0,14
1.0,53.3853185,-6.2540356,61.4,6.28,14.713,15,17.6,WSW,Partly cloudy,0,14
2.0,53.3853451,-6.2541065,61.4,10.47,16.47,15,17.6,WSW,Partly cloudy,0,14
3.0,53.3853696,-6.2541713,61.4,20.95,17.77,15,17.6,WSW,Partly cloudy,0,14
4.0,53.3853901,-6.2542336,61.2,20.95,18.418,15,17.6,WSW,Partly cloudy,0,14
5.0,53.3854061,-6.2542938,61.2,25.14,18.108,15,17.6,WSW,Partly cloudy,0,14
6.0,53.3854206,-6.25435,61.2,33.52,17.284,15,17.6,WSW,Partly cloudy,0,14
7.0,53.3854305,-6.2544095,61.0,37.71,16.373,15,17.6,WSW,Partly cloudy,0,14
8.0,53.3854383,-6.25448,60.8,37.71,15.883,15,17.6,WSW,Partly cloudy,0,14
9.0,53.3854463,-6.2545545,60.6,48.19,16.297,15,17.6,WSW,Partly cloudy,0,14
10.0,53.3854478,-6.2546298,60.6,54.47,17.075,15,17.6,WSW,Partly cloudy,0,14
11.0,53.3854428,-6.2547006,60.6,54.47,17.852,15,17.6,WSW,Partly cloudy,0,14
12.0,53.385441,-6.2547678,60.8,58.66,17.903,15,17.6,WSW,Partly cloudy,0,14
13.0,53.3854466,-6.254832,60.8,62.85,17.384,15,17.6,WSW,Partly cloudy,0,14
14.0,53.385461,-6.2548911,60.8,67.04,16.657,15,17.6,WSW,Partly cloudy,0,14
15.0,53.3854795,-6.2549526,61.0,75.42,16.117,15,17.6,WSW,Partly cloudy,0,14
16.0,53.385501,-6.2550116,61.0,75.42,15.883,15,17.6,WSW,Partly cloudy,0,14
17.0,53.3855236,-6.2550665,61.0,81.7,15.966,15,17.6,WSW,Partly cloudy,0,14
18.0,53.3855466,-6.2551145,61.0,83.79,16.078,15,17.6,WSW,Partly cloudy,0,14
19.0,53.3855671,-6.2551638,61.0,92.17,15.732,15,17.6,WSW,Partly cloudy,0,14
20.0,53.3855875,-6.2552185,61.0,92.17,15.264,15,17.6,WSW,Partly cloudy,0,14
21.0,53.3856098,-6.255278,61.0,98.45,14.771,15,17.6,WSW,Partly cloudy,0,14
22.0,53.3856338,-6.2553381,61.0,106.83,15.271,15,17.6,WSW,Partly cloudy,0,14
23.0,53.3856571,-6.2553965,61.0,106.83,15.775,15,17.6,WSW,Partly cloudy,0,14
24.0,53.385678,-6.2554543,61.0,111.02,16.373,15,17.6,WSW,Partly cloudy,0,14
25.0,53.3856975,-6.255514,60.8,121.5,16.312,15,17.6,WSW,Partly cloudy,0,14
26.0,53.3857165,-6.2555763,60.8,121.5,16.243,15,17.6,WSW,Partly cloudy,0,14
