timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,Wind speed,Weather,Precipitation,temperature
0.0,53.3853148,-6.2559811,55.2,255,43,0.0,11.981,34,Light drizzle,1.2,16
1.0,53.3853286,-6.2560346,55.2,255,45,4.19,12.884,34,Light drizzle,1.2,16
2.0,53.3853413,-6.256078,55.2,255,46,8.38,13.068,34,Light drizzle,1.2,16
3.0,53.3853541,-6.2561066,55.2,255,47,12.57,13.068,34,Light drizzle,1.2,16
4.0,53.3853868,-6.25609,55.2,255,47,14.66,13.043,34,Light drizzle,1.2,16
5.0,53.3853685,-6.2561291,55.2,255,48,18.85,13.068,34,Light drizzle,1.2,16
6.0,53.3853866,-6.2561846,55.2,255,49,23.04,13.255,34,Light drizzle,1.2,16
7.0,53.3853993,-6.2562406,55.2,255,50,27.23,13.475,34,Light drizzle,1.2,16
8.0,53.3854083,-6.2563086,55.2,255,51,31.42,13.723,34,Light drizzle,1.2,16
9.0,53.3854178,-6.2563645,55.2,255,52,35.61,13.957,34,Light drizzle,1.2,16
10.0,53.3854366,-6.2564391,55.2,255,53,39.8,14.238,34,Light drizzle,1.2,16
11.0,53.3854571,-6.256507,55.4,255,54,43.99,14.357,34,Light drizzle,1.2,16
12.0,53.385483,-6.2565701,55.4,255,54,48.18,14.378,34,Light drizzle,1.2,16
13.0,53.3854975,-6.256635,55.4,255,52,50.27,14.321,34,Light drizzle,1.2,16
14.0,53.3854928,-6.256679,55.6,255,51,52.36,14.116,34,Light drizzle,1.2,16
15.0,53.3854913,-6.2566885,55.6,255,47,56.55,13.482,34,Light drizzle,1.2,16
16.0,53.3855176,-6.2567201,55.6,255,45,58.64,12.69,34,Light drizzle,1.2,16
17.0,53.3855485,-6.2567393,55.6,255,43,64.92,12.168,34,Light drizzle,1.2,16
18.0,53.3855886,-6.2567561,55.4,255,43,69.11,12.546,34,Light drizzle,1.2,16
19.0,53.3856323,-6.2567435,55.4,255,44,73.3,13.46,34,Light drizzle,1.2,16
20.0,53.3856388,-6.2567311,55.4,255,0,75.39,14.321,34,Light drizzle,1.2,16
21.0,53.3856438,-6.2567315,55.4,255,0,79.58,14.555,34,Light drizzle,1.2,16
22.0,53.3856596,-6.2567435,55.4,255,0,81.67,14.396,34,Light drizzle,1.2,16
23.0,53.3856905,-6.2567553,55.4,255,14,85.86,14.011,34,Light drizzle,1.2,16
24.0,53.3857096,-6.256767,55.4,255,31,90.05,13.777,34,Light drizzle,1.2,16
25.0,53.385728,-6.2567781,55.4,255,48,94.24,13.745,34,Light drizzle,1.2,16
26.0,53.385747,-6.256791,55.4,255,51,98.43,14.198,34,Light drizzle,1.2,16
27.0,53.3857695,-6.2568085,55.4,255,52,102.62,14.713,34,Light drizzle,1.2,16
28.0,53.3857916,-6.2568176,55.4,255,54,106.81,15.142,34,Light drizzle,1.2,16
29.0,53.3858091,-6.2568133,55.4,255,55,111.0,15.307,34,Light drizzle,1.2,16
30.0,53.385822,-6.2568191,55.4,255,57,115.19,15.376,34,Light drizzle,1.2,16
31.0,53.3858255,-6.2568733,55.4,255,57,119.38,15.347,34,Light drizzle,1.2,16
32.0,53.3858523,-6.2568943,55.4,255,58,123.57,15.314,34,Light drizzle,1.2,16
33.0,53.3858725,-6.2569521,55.4,255,58,127.76,15.314,34,Light drizzle,1.2,16
34.0,53.3858918,-6.2569953,55.4,255,58,131.95,15.21,34,Light drizzle,1.2,16
35.0,53.385911,-6.257046,55.4,255,58,138.23,14.9,34,Light drizzle,1.2,16
36.0,53.3859301,-6.2570931,55.6,255,59,140.32,14.515,34,Light drizzle,1.2,16
37.0,53.3859458,-6.2571405,55.6,255,0,144.51,13.95,34,Light drizzle,1.2,16
38.0,53.3859558,-6.2572008,55.6,255,10,146.6,13.453,34,Light drizzle,1.2,16
39.0,53.3859651,-6.2572661,55.6,255,21,150.79,12.827,34,Light drizzle,1.2,16
40.0,53.3859775,-6.2573206,55.6,255,35,154.98,12.395,34,Light drizzle,1.2,16
41.0,53.3859831,-6.2574038,55.6,255,38,157.07,12.092,34,Light drizzle,1.2,16
42.0,53.3859801,-6.257474,55.6,255,40,161.26,12.161,34,Light drizzle,1.2,16
43.0,53.3859621,-6.2575275,55.4,255,38,165.45,12.546,34,Light drizzle,1.2,16
44.0,53.3859363,-6.2575616,55.4,255,36,169.64,12.985,34,Light drizzle,1.2,16
45.0,53.3859093,-6.2575706,55.4,255,35,171.73,13.255,34,Light drizzle,1.2,16
46.0,53.3858853,-6.2575565,55.4,255,33,173.82,13.309,34,Light drizzle,1.2,16
47.0,53.3858688,-6.2575355,55.4,255,32,178.01,12.946,34,Light drizzle,1.2,16
48.0,53.3858526,-6.2574983,55.2,255,31,182.2,12.492,34,Light drizzle,1.2,16
49.0,53.3858348,-6.2574545,55.0,255,31,186.39,12.125,34,Light drizzle,1.2,16
50.0,53.385815,-6.2574065,55.0,255,32,190.58,12.517,34,Light drizzle,1.2,16
51.0,53.3857961,-6.2573593,55.0,255,33,194.77,13.392,34,Light drizzle,1.2,16
52.0,53.3857751,-6.2573113,55.0,255,36,196.86,14.22,34,Light drizzle,1.2,16
53.0,53.3857561,-6.257275,55.2,255,37,203.14,14.515,34,Light drizzle,1.2,16
54.0,53.3857373,-6.257237,55.2,255,40,205.23,14.364,34,Light drizzle,1.2,16
55.0,53.3857178,-6.257193,55.4,255,46,209.42,14.087,34,Light drizzle,1.2,16
56.0,53.385699,-6.2571443,55.4,255,51,213.61,13.997,34,Light drizzle,1.2,16
57.0,53.3856826,-6.2570983,55.2,255,55,217.8,14.054,34,Light drizzle,1.2,16
58.0,53.3856638,-6.2570513,55.2,255,54,221.99,14.357,34,Light drizzle,1.2,16
59.0,53.3856433,-6.2569993,55.2,255,54,226.18,14.771,34,Light drizzle,1.2,16
60.0,53.3856238,-6.256953,55.2,255,54,230.37,15.134,34,Light drizzle,1.2,16
61.0,53.3856046,-6.2569011,55.2,255,54,234.56,15.307,34,Light drizzle,1.2,16
62.0,53.3855848,-6.2568545,55.2,255,54,240.84,15.142,34,Light drizzle,1.2,16
63.0,53.3855631,-6.2568143,55.4,255,54,242.93,14.782,34,Light drizzle,1.2,16
64.0,53.3855421,-6.2567743,55.4,255,0,247.12,14.213,34,Light drizzle,1.2,16
65.0,53.3855286,-6.256737,55.6,255,0,251.31,13.594,34,Light drizzle,1.2,16
66.0,53.385514,-6.2566913,55.6,255,0,253.4,12.953,34,Light drizzle,1.2,16
67.0,53.3854986,-6.2566596,55.6,255,0,255.49,12.42,34,Light drizzle,1.2,16
68.0,53.3854846,-6.256632,55.6,255,0,259.68,11.858,34,Light drizzle,1.2,16
69.0,53.385465,-6.2566081,55.6,255,13,261.77,11.376,34,Light drizzle,1.2,16
70.0,53.3854448,-6.25658,55.6,255,27,263.86,10.984,34,Light drizzle,1.2,16
71.0,53.385423,-6.2565435,55.4,255,41,270.14,11.182,34,Light drizzle,1.2,16
72.0,53.3854008,-6.2565058,55.2,255,35,272.23,11.7,34,Light drizzle,1.2,16
73.0,53.3853896,-6.2564563,55.2,255,29,278.51,12.834,34,Light drizzle,1.2,16
74.0,53.3853715,-6.2564175,55.0,255,24,280.6,13.687,34,Light drizzle,1.2,16
75.0,53.385359,-6.2563726,55.0,255,0,284.79,14.148,34,Light drizzle,1.2,16
76.0,53.385352,-6.2563295,55.2,255,0,288.98,13.838,34,Light drizzle,1.2,16
77.0,53.3853401,-6.2562918,55.2,255,0,291.07,13.345,34,Light drizzle,1.2,16
78.0,53.3853271,-6.256252,55.2,255,0,293.16,12.856,34,Light drizzle,1.2,16
79.0,53.3853121,-6.2562153,55.4,255,0,299.44,12.402,34,Light drizzle,1.2,16
80.0,53.3852976,-6.2561713,55.4,255,0,301.53,12.168,34,Light drizzle,1.2,16
81.0,53.3852773,-6.2561476,55.4,255,0,305.72,12.236,34,Light drizzle,1.2,16
82.0,53.3852643,-6.2561048,55.4,255,0,307.81,12.532,34,Light drizzle,1.2,16
83.0,53.3852536,-6.2560688,55.4,255,0,312.0,12.719,34,Light drizzle,1.2,16
84.0,53.3852533,-6.2560601,55.4,255,0,312.0,12.744,34,Light drizzle,1.2,16
85.0,53.3852541,-6.2560546,55.6,255,0,314.09,12.697,34,Light drizzle,1.2,16
86.0,53.3852556,-6.2560533,55.6,255,0,314.09,12.697,34,Light drizzle,1.2,16
87.0,53.3852575,-6.2560531,55.6,255,0,314.09,12.697,34,Light drizzle,1.2,16
88.0,53.3852603,-6.2560533,55.8,255,0,314.09,0.0,34,Light drizzle,1.2,16
89.0,53.3852618,-6.2560538,55.8,255,0,314.09,0.0,34,Light drizzle,1.2,16
113.0,53.3852568,-6.2560603,55.6,255,0,314.09,0.745,34,Light drizzle,1.2,16
114.0,53.3852483,-6.2560255,55.6,255,12,320.37,2.653,34,Light drizzle,1.2,16
115.0,53.3852298,-6.2559765,55.2,255,32,322.46,4.835,34,Light drizzle,1.2,16
116.0,53.385211,-6.2559205,55.2,255,48,328.74,8.888,34,Light drizzle,1.2,16
117.0,53.3851843,-6.2558766,55.0,255,52,332.93,12.222,34,Light drizzle,1.2,16
118.0,53.3851636,-6.2558223,55.0,255,49,335.02,15.322,34,Light drizzle,1.2,16
119.0,53.3851435,-6.2557705,55.0,255,0,341.3,15.685,34,Light drizzle,1.2,16
120.0,53.3851081,-6.255736,55.2,255,0,345.49,15.307,34,Light drizzle,1.2,16
121.0,53.3850846,-6.2556891,55.2,255,18,349.68,14.857,34,Light drizzle,1.2,16
122.0,53.3850625,-6.2556325,55.4,255,36,353.87,14.562,34,Light drizzle,1.2,16
123.0,53.3850423,-6.2556081,55.4,255,55,355.96,14.447,34,Light drizzle,1.2,16
124.0,53.3850276,-6.2555788,55.6,255,0,358.05,14.364,34,Light drizzle,1.2,16
125.0,53.385018,-6.2555593,55.6,255,0,360.14,14.245,34,Light drizzle,1.2,16
126.0,53.3850341,-6.2555456,55.6,255,0,362.23,13.633,34,Light drizzle,1.2,16
127.0,53.3850396,-6.2555476,55.8,255,0,364.32,12.463,34,Light drizzle,1.2,16
128.0,53.3850523,-6.2555578,55.6,255,0,368.51,10.714,34,Light drizzle,1.2,16
129.0,53.3850703,-6.2555698,55.6,255,8,370.6,9.454,34,Light drizzle,1.2,16
130.0,53.3850846,-6.2555881,55.6,255,16,374.79,8.705,34,Light drizzle,1.2,16
131.0,53.385101,-6.2556081,55.4,255,29,378.98,8.849,34,Light drizzle,1.2,16
132.0,53.3851211,-6.2556503,55.2,255,33,385.26,10.721,34,Light drizzle,1.2,16
133.0,53.3851535,-6.2556988,55.0,255,39,389.45,14.094,34,Light drizzle,1.2,16
134.0,53.3851763,-6.2557695,55.0,255,40,395.73,17.323,34,Light drizzle,1.2,16
135.0,53.3851626,-6.2558193,55.0,255,42,399.92,18.63,34,Light drizzle,1.2,16
136.0,53.385169,-6.2558735,55.2,255,0,402.01,18.486,34,Light drizzle,1.2,16
137.0,53.385176,-6.255904,55.2,255,8,404.1,18.169,34,Light drizzle,1.2,16
138.0,53.3851776,-6.2559215,55.4,255,16,404.1,18.169,34,Light drizzle,1.2,16
139.0,53.3851835,-6.2559241,55.6,255,25,404.1,18.169,34,Light drizzle,1.2,16
140.0,53.3851813,-6.2559303,55.6,255,0,404.1,0.0,34,Light drizzle,1.2,16
141.0,53.385184,-6.2559335,55.8,255,0,404.1,0.0,34,Light drizzle,1.2,16
180.0,53.3852663,-6.2560901,55.8,255,0,404.1,2.812,34,Light drizzle,1.2,16
181.0,53.3852773,-6.256135,55.6,255,12,408.29,4.993,34,Light drizzle,1.2,16
182.0,53.3852981,-6.2561886,55.6,255,24,412.48,7.733,34,Light drizzle,1.2,16
183.0,53.3853191,-6.2562466,55.4,255,37,416.67,10.08,34,Light drizzle,1.2,16
184.0,53.3853393,-6.2563028,55.2,255,0,420.86,13.345,34,Light drizzle,1.2,16
185.0,53.3853608,-6.2563581,55.2,255,10,425.05,15.89,34,Light drizzle,1.2,16
186.0,53.3853828,-6.2564131,55.2,255,22,429.24,15.858,34,Light drizzle,1.2,16
187.0,53.3854078,-6.2564663,55.2,255,34,433.43,15.527,34,Light drizzle,1.2,16
188.0,53.3854288,-6.2565126,55.2,255,37,437.62,15.376,34,Light drizzle,1.2,16
189.0,53.3854441,-6.2565673,55.2,255,38,441.81,15.451,34,Light drizzle,1.2,16
190.0,53.3854603,-6.2566258,55.4,255,40,446.0,15.588,34,Light drizzle,1.2,16
191.0,53.3854803,-6.2566796,55.4,255,47,450.19,15.48,34,Light drizzle,1.2,16
192.0,53.3855011,-6.2567285,55.4,255,52,454.38,15.052,34,Light drizzle,1.2,16
193.0,53.3855161,-6.2567743,55.6,255,56,456.47,14.584,34,Light drizzle,1.2,16
194.0,53.3855395,-6.2568036,55.6,255,56,460.66,14.033,34,Light drizzle,1.2,16
195.0,53.3855775,-6.2567966,55.6,255,56,462.75,13.558,34,Light drizzle,1.2,16
196.0,53.3855998,-6.2568178,55.6,255,56,466.94,12.946,34,Light drizzle,1.2,16
197.0,53.3856178,-6.2568655,55.6,255,55,471.13,12.766,34,Light drizzle,1.2,16
198.0,53.3856371,-6.2569286,55.6,255,55,477.41,13.09,34,Light drizzle,1.2,16
199.0,53.3856603,-6.2569941,55.4,255,55,483.69,14.53,34,Light drizzle,1.2,16
200.0,53.385684,-6.2570565,55.4,255,55,487.88,15.995,34,Light drizzle,1.2,16
201.0,53.3857071,-6.2571163,55.4,255,55,492.07,16.96,34,Light drizzle,1.2,16
202.0,53.385728,-6.2571746,55.6,255,0,496.26,16.726,34,Light drizzle,1.2,16
203.0,53.3857485,-6.257231,55.6,255,0,500.45,16.124,34,Light drizzle,1.2,16
204.0,53.3857683,-6.2572848,55.6,255,0,504.64,15.458,34,Light drizzle,1.2,16
205.0,53.3857876,-6.2573376,55.6,255,0,508.83,14.929,34,Light drizzle,1.2,16
206.0,53.3858096,-6.2573956,55.6,255,0,513.02,14.764,34,Light drizzle,1.2,16
207.0,53.3858328,-6.2574556,55.6,255,0,517.21,15.073,34,Light drizzle,1.2,16
208.0,53.3858543,-6.2575145,55.6,255,0,521.4,15.602,34,Light drizzle,1.2,16
209.0,53.3858741,-6.257568,55.6,255,0,525.59,15.775,34,Light drizzle,1.2,16
210.0,53.3858935,-6.2576203,55.6,255,0,529.78,15.498,34,Light drizzle,1.2,16
211.0,53.3859123,-6.2576723,55.6,255,0,531.87,14.94,34,Light drizzle,1.2,16
212.0,53.3859318,-6.2577273,55.6,255,0,538.15,14.537,34,Light drizzle,1.2,16
213.0,53.3859526,-6.2577898,55.6,255,0,542.34,14.638,34,Light drizzle,1.2,16
214.0,53.3859763,-6.2578541,55.6,255,0,548.62,15.52,34,Light drizzle,1.2,16
215.0,53.3859983,-6.2579161,55.4,255,0,552.81,16.477,34,Light drizzle,1.2,16
216.0,53.3860215,-6.2579766,55.4,255,19,557.0,17.096,34,Light drizzle,1.2,16
217.0,53.386046,-6.2580386,55.4,255,42,561.19,17.096,34,Light drizzle,1.2,16
218.0,53.3860693,-6.2581013,55.4,255,63,567.47,17.042,34,Light drizzle,1.2,16
219.0,53.3860933,-6.2581616,55.4,255,65,569.56,17.006,34,Light drizzle,1.2,16
220.0,53.386116,-6.2582191,55.4,255,64,575.84,16.924,34,Light drizzle,1.2,16
221.0,53.3861438,-6.2582735,55.4,255,64,580.03,16.884,34,Light drizzle,1.2,16
222.0,53.3861788,-6.2583098,55.4,255,64,584.22,16.834,34,Light drizzle,1.2,16
223.0,53.386215,-6.2583308,55.4,255,64,590.5,16.6,34,Light drizzle,1.2,16
224.0,53.3862498,-6.2583483,55.4,255,0,594.69,16.024,34,Light drizzle,1.2,16
225.0,53.3862845,-6.2583638,55.4,255,0,598.88,15.293,34,Light drizzle,1.2,16
226.0,53.3863181,-6.2583736,55.6,255,0,603.07,14.706,34,Light drizzle,1.2,16
227.0,53.3863513,-6.258384,55.6,255,0,605.16,14.44,34,Light drizzle,1.2,16
228.0,53.3863873,-6.2583991,55.6,255,0,611.44,14.479,34,Light drizzle,1.2,16
229.0,53.3864235,-6.2584133,55.4,255,0,613.53,14.605,34,Light drizzle,1.2,16
230.0,53.386459,-6.2584291,55.4,255,0,619.81,14.839,34,Light drizzle,1.2,16
231.0,53.386497,-6.2584423,55.2,255,0,624.0,14.976,34,Light drizzle,1.2,16
232.0,53.3865341,-6.2584498,55.2,255,0,628.19,15.066,34,Light drizzle,1.2,16
233.0,53.38657,-6.2584461,55.0,255,0,632.38,14.962,34,Light drizzle,1.2,16
234.0,53.3866045,-6.2584331,55.0,255,0,636.57,14.832,34,Light drizzle,1.2,16
235.0,53.3866383,-6.2584135,55.0,255,0,638.66,14.735,34,Light drizzle,1.2,16
236.0,53.3866721,-6.2583925,54.8,255,0,642.85,14.666,34,Light drizzle,1.2,16
237.0,53.3867056,-6.2583773,54.8,255,0,647.04,14.569,34,Light drizzle,1.2,16
238.0,53.3867353,-6.2583715,54.8,255,0,649.13,14.465,34,Light drizzle,1.2,16
239.0,53.386758,-6.2583711,54.8,255,0,651.22,14.404,34,Light drizzle,1.2,16
240.0,53.3867741,-6.2583745,54.8,255,0,653.31,13.784,34,Light drizzle,1.2,16
241.0,53.3867878,-6.2583816,54.8,255,0,653.31,13.172,34,Light drizzle,1.2,16
242.0,53.3867988,-6.2584001,54.8,255,0,657.5,11.542,34,Light drizzle,1.2,16
243.0,53.386814,-6.2584338,54.6,255,12,661.69,10.163,34,Light drizzle,1.2,16
244.0,53.386831,-6.2584845,54.6,255,30,665.88,8.82,34,Light drizzle,1.2,16
245.0,53.386846,-6.258555,54.4,255,47,672.16,9.929,34,Light drizzle,1.2,16
246.0,53.386858,-6.2586443,54.2,255,55,678.44,14.296,34,Light drizzle,1.2,16
247.0,53.3868658,-6.2587451,54.0,255,59,684.72,19.202,34,Light drizzle,1.2,16
248.0,53.386869,-6.2588488,53.8,255,63,691.0,22.943,34,Light drizzle,1.2,16
249.0,53.3868715,-6.258949,53.6,255,63,697.28,23.623,34,Light drizzle,1.2,16
250.0,53.3868743,-6.2590431,53.6,255,63,703.56,23.245,34,Light drizzle,1.2,16
251.0,53.386877,-6.2591358,53.6,255,72,711.94,22.316,34,Light drizzle,1.2,16
252.0,53.386882,-6.2592275,53.8,255,79,716.13,21.64,34,Light drizzle,1.2,16
253.0,53.3868881,-6.259318,53.8,255,86,722.41,21.427,34,Light drizzle,1.2,16
254.0,53.3868948,-6.2594085,53.8,255,83,728.69,21.427,34,Light drizzle,1.2,16
255.0,53.3869011,-6.2594993,53.8,255,83,734.97,21.427,34,Light drizzle,1.2,16
256.0,53.3869066,-6.2595951,54.0,255,83,741.25,21.791,34,Light drizzle,1.2,16
257.0,53.386907,-6.2596956,54.0,255,84,747.53,22.619,34,Light drizzle,1.2,16
258.0,53.3869001,-6.2597948,54.0,255,86,755.91,23.202,34,Light drizzle,1.2,16
259.0,53.386884,-6.259889,54.0,255,87,762.19,23.27,34,Light drizzle,1.2,16
260.0,53.3868585,-6.2599745,54.2,255,88,766.38,22.878,34,Light drizzle,1.2,16
261.0,53.3868245,-6.2600515,54.4,255,87,774.76,22.651,34,Light drizzle,1.2,16
262.0,53.3867831,-6.2601223,54.4,255,87,781.04,22.81,34,Light drizzle,1.2,16
263.0,53.3867385,-6.2601855,54.4,255,87,787.32,23.036,34,Light drizzle,1.2,16
264.0,53.3866963,-6.2602408,54.2,255,87,791.51,22.968,34,Light drizzle,1.2,16
265.0,53.3866526,-6.2602935,54.2,255,81,797.79,22.453,34,Light drizzle,1.2,16
266.0,53.3866113,-6.2603478,54.2,255,80,804.07,21.654,34,Light drizzle,1.2,16
267.0,53.3865718,-6.2604,54.2,255,79,808.26,20.898,34,Light drizzle,1.2,16
268.0,53.3865341,-6.2604491,54.2,255,73,814.54,20.03,34,Light drizzle,1.2,16
269.0,53.3864976,-6.2604988,54.2,255,62,818.73,19.278,34,Light drizzle,1.2,16
270.0,53.386461,-6.2605513,54.4,255,53,825.01,18.99,34,Light drizzle,1.2,16
271.0,53.3864256,-6.260617,54.4,255,54,829.2,19.224,34,Light drizzle,1.2,16
272.0,53.3863945,-6.2606971,54.4,255,56,837.58,20.545,34,Light drizzle,1.2,16
273.0,53.3863703,-6.2607855,54.4,255,57,843.86,21.881,34,Light drizzle,1.2,16
274.0,53.3863495,-6.2608746,54.4,255,59,850.14,22.81,34,Light drizzle,1.2,16
275.0,53.3863288,-6.2609585,54.6,255,59,856.42,22.37,34,Light drizzle,1.2,16
276.0,53.3863081,-6.2610368,54.6,255,0,860.61,21.449,34,Light drizzle,1.2,16
277.0,53.3862876,-6.2611103,54.8,255,0,866.89,20.182,34,Light drizzle,1.2,16
278.0,53.386269,-6.2611793,54.8,255,21,873.17,19.051,34,Light drizzle,1.2,16
279.0,53.3862475,-6.261247,55.0,255,42,877.36,18.378,34,Light drizzle,1.2,16
280.0,53.3862163,-6.2613148,55.2,255,67,883.64,18.947,34,Light drizzle,1.2,16
281.0,53.3861733,-6.2613723,55.2,255,71,889.92,20.365,34,Light drizzle,1.2,16
282.0,53.386121,-6.261413,55.2,255,76,896.2,21.73,34,Light drizzle,1.2,16
283.0,53.386069,-6.261436,55.4,255,77,900.39,22.432,34,Light drizzle,1.2,16
284.0,53.3860271,-6.2614513,55.6,255,0,904.58,21.956,34,Light drizzle,1.2,16
285.0,53.38599,-6.261463,55.6,255,0,908.77,20.347,34,Light drizzle,1.2,16
286.0,53.385956,-6.2614761,55.8,255,0,912.96,17.957,34,Light drizzle,1.2,16
287.0,53.385921,-6.2614846,55.8,255,14,917.15,16.092,34,Light drizzle,1.2,16
288.0,53.3858823,-6.2614908,55.8,255,34,921.34,15.458,34,Light drizzle,1.2,16
289.0,53.3858431,-6.2614918,56.0,255,53,927.62,15.79,34,Light drizzle,1.2,16
290.0,53.3858041,-6.2614905,56.0,255,58,931.81,16.042,34,Light drizzle,1.2,16
291.0,53.3857666,-6.2614945,56.2,255,58,936.0,15.822,34,Light drizzle,1.2,16
292.0,53.3857315,-6.2614983,56.4,255,58,938.09,15.25,34,Light drizzle,1.2,16
293.0,53.3857021,-6.2615053,56.4,255,0,942.28,14.681,34,Light drizzle,1.2,16
294.0,53.3856736,-6.2615066,56.6,255,0,944.37,14.328,34,Light drizzle,1.2,16
295.0,53.3856461,-6.2615086,56.6,255,0,948.56,13.903,34,Light drizzle,1.2,16
296.0,53.3856253,-6.2615128,56.6,255,0,950.65,13.68,34,Light drizzle,1.2,16
297.0,53.3856058,-6.2615185,56.6,255,0,952.74,12.946,34,Light drizzle,1.2,16
298.0,53.3855875,-6.261522,56.6,255,0,954.83,12.028,34,Light drizzle,1.2,16
299.0,53.3855701,-6.261523,56.6,255,0,956.92,10.721,34,Light drizzle,1.2,16
300.0,53.3855535,-6.2615255,56.6,255,0,959.01,9.58,34,Light drizzle,1.2,16
301.0,53.3855328,-6.2615305,56.6,255,0,961.1,8.773,34,Light drizzle,1.2,16
302.0,53.3855015,-6.2615393,56.4,255,0,965.29,8.352,34,Light drizzle,1.2,16
303.0,53.3854718,-6.2615483,56.4,255,0,967.38,8.255,34,Light drizzle,1.2,16
304.0,53.3854473,-6.2615566,56.4,255,0,969.47,8.327,34,Light drizzle,1.2,16
305.0,53.3854311,-6.2615645,56.6,255,0,973.66,8.442,34,Light drizzle,1.2,16
306.0,53.3854126,-6.261569,56.6,255,0,973.66,8.546,34,Light drizzle,1.2,16
307.0,53.3853948,-6.2615713,56.6,255,0,975.75,8.615,34,Light drizzle,1.2,16
308.0,53.3853763,-6.2615705,56.6,255,0,977.84,8.636,34,Light drizzle,1.2,16
309.0,53.3853561,-6.2615693,56.4,255,0,979.93,8.561,34,Light drizzle,1.2,16
310.0,53.3853351,-6.2615703,56.4,255,0,984.12,8.215,34,Light drizzle,1.2,16
311.0,53.3853138,-6.2615721,56.4,255,0,986.21,7.862,34,Light drizzle,1.2,16
312.0,53.385292,-6.2615756,56.4,255,0,988.3,7.672,34,Light drizzle,1.2,16
313.0,53.385271,-6.2615815,56.2,255,0,990.39,7.808,34,Light drizzle,1.2,16
314.0,53.3852563,-6.2615868,56.2,255,0,992.48,8.028,34,Light drizzle,1.2,16
315.0,53.3852396,-6.261595,56.2,255,0,994.57,8.255,34,Light drizzle,1.2,16
316.0,53.3852161,-6.261605,56.0,255,0,998.76,8.579,34,Light drizzle,1.2,16
317.0,53.3851856,-6.2616123,56.0,255,13,1002.95,8.827,34,Light drizzle,1.2,16
318.0,53.3851476,-6.2616181,55.8,255,32,1007.14,9.598,34,Light drizzle,1.2,16
319.0,53.385107,-6.2616241,55.6,255,52,1011.33,10.955,34,Light drizzle,1.2,16
320.0,53.3850673,-6.2616288,55.6,255,59,1015.52,13.234,34,Light drizzle,1.2,16
321.0,53.3850278,-6.2616306,55.4,255,0,1019.71,14.879,34,Light drizzle,1.2,16
322.0,53.3849918,-6.2616248,55.4,255,0,1023.9,15.458,34,Light drizzle,1.2,16
323.0,53.3849625,-6.2616118,55.4,255,0,1025.99,14.857,34,Light drizzle,1.2,16
324.0,53.3849378,-6.2615976,55.2,255,0,1030.18,14.306,34,Light drizzle,1.2,16
325.0,53.3849168,-6.261584,55.2,255,0,1032.27,13.565,34,Light drizzle,1.2,16
326.0,53.3849,-6.2615643,55.2,255,0,1034.36,12.614,34,Light drizzle,1.2,16
327.0,53.3848823,-6.2615265,55.2,255,15,1038.55,11.52,34,Light drizzle,1.2,16
328.0,53.3848675,-6.2614661,55.0,255,36,1044.83,11.257,34,Light drizzle,1.2,16
329.0,53.3848591,-6.2613838,54.8,255,58,1051.11,13.579,34,Light drizzle,1.2,16
330.0,53.3848576,-6.2612918,54.6,255,66,1057.39,17.442,34,Light drizzle,1.2,16
331.0,53.384858,-6.2611931,54.4,255,73,1063.67,21.276,34,Light drizzle,1.2,16
332.0,53.38486,-6.2610943,54.2,255,80,1072.05,23.065,34,Light drizzle,1.2,16
333.0,53.3848643,-6.2609981,54.0,255,86,1074.14,23.353,34,Light drizzle,1.2,16
334.0,53.3848671,-6.2609026,54.0,255,88,1084.62,23.065,34,Light drizzle,1.2,16
335.0,53.384869,-6.260808,54.0,255,88,1090.9,22.741,34,Light drizzle,1.2,16
336.0,53.3848703,-6.2607113,54.0,255,88,1097.18,22.583,34,Light drizzle,1.2,16
337.0,53.3848725,-6.2606195,53.8,255,88,1101.37,22.5,34,Light drizzle,1.2,16
338.0,53.3848731,-6.2605336,53.8,255,88,1107.65,21.618,34,Light drizzle,1.2,16
339.0,53.384875,-6.2604603,53.8,255,0,1111.84,20.182,34,Light drizzle,1.2,16
340.0,53.3848765,-6.2603933,54.0,255,0,1116.03,18.536,34,Light drizzle,1.2,16
341.0,53.3848828,-6.2603326,54.0,255,0,1120.22,17.366,34,Light drizzle,1.2,16
342.0,53.384887,-6.2602846,54.2,255,0,1120.22,16.682,34,Light drizzle,1.2,16
343.0,53.3848861,-6.2602536,54.4,255,0,1124.41,15.437,34,Light drizzle,1.2,16
344.0,53.3848853,-6.2602255,54.6,255,0,1126.5,13.813,34,Light drizzle,1.2,16
345.0,53.3848893,-6.2601823,54.8,255,0,1130.69,11.837,34,Light drizzle,1.2,16
346.0,53.3848935,-6.2601303,54.8,255,8,1132.78,10.804,34,Light drizzle,1.2,16
347.0,53.384896,-6.260076,54.8,255,26,1136.97,10.39,34,Light drizzle,1.2,16
348.0,53.3849006,-6.2600138,54.8,255,44,1143.25,11.52,34,Light drizzle,1.2,16
349.0,53.3849028,-6.2599513,54.6,255,54,1145.34,12.91,34,Light drizzle,1.2,16
350.0,53.3849033,-6.259903,54.8,255,54,1147.43,14.296,34,Light drizzle,1.2,16
351.0,53.3849048,-6.2598638,54.8,255,0,1151.62,14.155,34,Light drizzle,1.2,16
